City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
3,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
4,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Huejuquilla El Alto,MX,82.63,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
12,Vaini,TO,82.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Georgetown,MY,81.0,light rain,5.4112,100.3354,Cititel Penang
49,Samarai,PG,83.8,broken clouds,-10.6167,150.6667,Nuli Sapi
57,Russell,US,84.2,few clouds,32.3502,-85.1999,Macs
62,Neiafu,TO,84.2,scattered clouds,-18.65,-173.9833,Mystic Sands
66,Faanui,PF,82.53,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Hilo,US,82.4,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
81,Vila Velha,BR,80.6,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
89,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
96,Cartagena,CO,87.8,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
111,Kavieng,PG,83.08,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
112,Les Trois-Ilets,MQ,80.6,scattered clouds,14.539,-61.0361,La Pagerie - Tropical Garden Hotel
123,Atuona,PF,80.78,light rain,-9.8,-139.0333,Villa Enata
128,Butaritari,KI,81.66,light rain,3.0707,172.7902,Isles Sunset Lodge
142,Noumea,NC,82.4,clear sky,-22.2763,166.4572,Hôtel Le Lagon
152,Massaguet,TD,81.1,clear sky,12.4755,15.4365,Alwatane
153,Moindou,NC,82.4,clear sky,-21.6924,165.677,Gite de la RYAWA
164,Vieux-Habitants,GP,80.6,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
187,Finschhafen,PG,81.63,light rain,-6.6024,147.8681,Cossam Guest House
188,Pimentel,PE,80.6,clear sky,-6.8367,-79.9342,Casona Del Muelle
191,Isangel,VU,80.6,few clouds,-19.55,169.2667,Volcano Sea View Tree House
192,Hithadhoo,MV,83.88,overcast clouds,-0.6,73.0833,Scoop Guest House
197,Parrita,CR,82.4,few clouds,9.5201,-84.3225,Beso del Viento
206,Tomatlan,MX,85.91,overcast clouds,19.9333,-105.25,Norma franco
207,San Patricio,US,86.0,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
210,Malakal,SS,86.97,scattered clouds,9.5334,31.6605,Nile Palace Hotel
