City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Ilulissat,GL,69.2167,-51.1,-9.4,45,20,3.44,few clouds
1,Jamestown,US,42.097,-79.2353,62.6,39,1,8.61,clear sky
2,Albany,US,42.6001,-73.9662,57.0,45,76,6.17,broken clouds
3,Sola,VU,-13.8833,167.55,84.2,79,75,5.75,broken clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,82.4,74,20,11.5,few clouds
5,Kruisfontein,ZA,-34.0033,24.7314,59.0,77,1,1.01,clear sky
6,Huejuquilla El Alto,MX,22.6,-103.8667,82.63,4,89,17.67,overcast clouds
7,Bozoum,CF,6.3193,16.3799,76.03,57,74,2.89,light rain
8,Freeport,US,40.6576,-73.5832,59.0,58,1,16.11,clear sky
9,Yulara,AU,-25.2406,130.9889,73.4,73,100,5.75,overcast clouds
10,Diapaga,BF,12.0708,1.7889,84.85,10,3,9.84,clear sky
11,Half Moon Bay,US,37.4636,-122.4286,69.8,45,1,6.91,clear sky
12,Vaini,TO,-21.2,-175.2,82.4,83,40,9.22,scattered clouds
13,Talnakh,RU,69.4865,88.3972,-2.47,98,74,1.41,broken clouds
14,Duiwelskloof,ZA,-23.6934,30.14,65.25,68,9,3.22,clear sky
15,Georgetown,MY,5.4112,100.3354,81.0,94,40,5.75,light rain
16,Ushuaia,AR,-54.8,-68.3,55.4,76,75,20.71,heavy intensity rain
17,Naze,JP,28.3667,129.4833,69.8,94,75,24.16,broken clouds
18,Codrington,AU,-38.2667,141.9667,56.25,80,77,6.38,broken clouds
19,Bredasdorp,ZA,-34.5322,20.0403,57.2,72,32,4.61,scattered clouds
20,Nikolskoye,RU,59.7035,30.7861,41.0,65,0,4.47,clear sky
21,Kayerkan,RU,69.3497,87.7602,-3.84,99,77,1.57,broken clouds
22,Tanete,ID,-3.9443,119.7848,75.11,94,100,3.53,overcast clouds
23,Tilichiki,RU,60.4667,166.1,7.0,85,100,12.88,overcast clouds
24,Barrow,US,71.2906,-156.7887,-14.8,84,1,4.61,clear sky
25,Punta Arenas,CL,-53.15,-70.9167,51.8,76,40,31.07,scattered clouds
26,Chicama,PE,-7.8447,-79.1469,73.4,78,0,9.22,clear sky
27,Kaupanger,NO,61.1845,7.2404,29.48,88,45,2.71,scattered clouds
28,Panguna,PG,-6.3164,155.4848,76.46,74,93,2.71,overcast clouds
29,Bethel,US,41.3712,-73.414,62.01,51,85,1.99,overcast clouds
30,Torbay,CA,47.6666,-52.7314,28.0,100,90,25.32,snow
31,Katsuura,JP,35.1333,140.3,62.01,69,100,8.01,overcast clouds
32,Rikitea,PF,-23.1203,-134.9692,79.65,70,2,18.92,clear sky
33,Hasaki,JP,35.7333,140.8333,59.0,72,75,12.66,broken clouds
34,Waddan,LY,29.1614,16.139,57.85,34,0,8.52,clear sky
35,Kalmunai,LK,7.4167,81.8167,78.06,80,83,1.19,broken clouds
36,Turukhansk,RU,65.8167,87.9833,-1.55,99,100,4.88,overcast clouds
37,Pavlodar,KZ,52.3,76.95,30.2,93,40,6.71,scattered clouds
38,Morris,US,40.8334,-74.5329,68.0,45,40,9.22,scattered clouds
39,Obzor,BG,42.8167,27.8833,39.2,81,0,4.61,clear sky
40,Nanortalik,GL,60.1432,-45.2371,13.87,61,99,16.58,overcast clouds
41,Lodja,CD,-3.4833,23.4333,74.8,76,98,2.44,overcast clouds
42,Hobart,AU,-42.8794,147.3294,57.2,67,75,9.22,broken clouds
43,Ajdabiya,LY,30.7554,20.2263,56.95,63,1,8.41,clear sky
44,Pahrump,US,36.2083,-115.9839,72.0,15,1,4.0,clear sky
45,Muravlenko,RU,63.7898,74.523,-4.81,96,64,10.2,broken clouds
46,Mount Isa,AU,-20.7333,139.5,78.8,29,44,14.97,scattered clouds
47,Cherskiy,RU,68.75,161.3,-6.9,88,33,4.76,scattered clouds
48,Pinega,RU,64.7001,43.3936,24.04,93,20,5.91,few clouds
49,Samarai,PG,-10.6167,150.6667,83.8,76,56,13.76,broken clouds
50,Batagay-Alyta,RU,67.8006,130.4114,-0.58,91,100,3.69,overcast clouds
51,Caravelas,BR,-17.7125,-39.2481,76.46,75,4,5.32,clear sky
52,Yellowknife,CA,62.456,-114.3525,26.01,58,40,14.97,scattered clouds
53,Palmer,US,42.1584,-72.3287,62.6,36,75,10.36,broken clouds
54,Boyolangu,ID,-8.1181,111.8935,74.97,91,99,2.86,overcast clouds
55,Saskylakh,RU,71.9167,114.0833,-15.61,100,100,0.83,overcast clouds
56,Hermanus,ZA,-34.4187,19.2345,59.0,77,6,1.01,clear sky
57,Russell,US,32.3502,-85.1999,84.2,54,20,9.22,few clouds
58,Shimoda,JP,34.6667,138.95,61.0,56,100,13.4,overcast clouds
59,Egvekinot,RU,66.3167,-179.1667,-8.73,93,65,2.3,broken clouds
60,Busselton,AU,-33.65,115.3333,52.0,86,0,8.01,clear sky
61,Virginia Beach,US,36.8529,-75.978,64.0,59,90,9.22,overcast clouds
62,Neiafu,TO,-18.65,-173.9833,84.2,79,40,11.5,scattered clouds
63,Severodvinsk,RU,64.5635,39.8302,26.6,80,0,4.47,clear sky
64,Maumere,ID,-8.6199,122.2111,79.86,82,99,4.68,overcast clouds
65,East London,ZA,-33.0153,27.9116,66.4,74,82,11.97,light rain
66,Faanui,PF,-16.4833,-151.75,82.53,73,35,21.14,scattered clouds
67,Serebryanyy Bor,RU,56.8,124.8,16.93,97,100,3.65,overcast clouds
68,Manerbio,IT,45.3558,10.1352,52.0,100,85,1.19,mist
69,Merauke,ID,-8.4667,140.3333,79.21,86,44,6.62,scattered clouds
70,Hilo,US,19.7297,-155.09,82.4,54,20,9.22,light rain
71,Kamina,CD,-8.7386,24.9906,62.78,96,15,1.41,few clouds
72,Thompson,CA,55.7435,-97.8558,21.2,58,75,10.36,broken clouds
73,Haines Junction,CA,60.7522,-137.5108,26.6,59,100,14.97,overcast clouds
74,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,0,6.91,clear sky
75,Bilibino,RU,68.0546,166.4372,-10.35,92,22,2.59,few clouds
76,Sazonovo,RU,59.0919,35.2268,33.08,88,100,2.84,overcast clouds
77,Thanatpin,MM,17.2119,96.3033,78.8,94,31,4.61,scattered clouds
78,Chuy,UY,-33.6971,-53.4616,70.45,86,100,3.8,overcast clouds
79,Moose Factory,CA,51.2585,-80.6094,26.6,68,1,12.66,clear sky
80,Nagato,JP,34.3833,131.2,59.0,94,75,21.85,moderate rain
81,Vila Velha,BR,-20.3297,-40.2925,80.6,78,0,5.75,clear sky
82,Bouca,CF,6.5105,18.2733,77.97,63,95,4.74,overcast clouds
83,Launceston,AU,-41.45,147.1667,53.01,93,37,9.22,scattered clouds
84,Gamba,GA,-2.65,10.0,78.6,85,78,3.38,light rain
85,Asilah,MA,35.465,-6.0348,62.6,63,0,16.11,clear sky
86,Zhigansk,RU,66.7697,123.3711,2.39,98,93,4.45,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,64.6,70,50,11.45,scattered clouds
88,Svetlyy,RU,54.675,20.1347,39.99,93,40,8.95,scattered clouds
89,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,78,0,12.66,clear sky
90,Upernavik,GL,72.7868,-56.1549,-27.62,91,17,5.06,few clouds
91,Saint-Francois,FR,46.4154,3.9054,37.99,81,0,2.3,clear sky
92,Olga,RU,43.7444,135.2892,39.36,86,100,3.06,overcast clouds
93,Tutoia,BR,-2.7619,-42.2744,77.04,85,99,9.86,light rain
94,Xingcheng,CN,40.6167,120.7167,40.19,95,55,9.35,broken clouds
95,Salalah,OM,17.0151,54.0924,78.8,50,0,3.44,clear sky
96,Cartagena,CO,10.3997,-75.5144,87.8,58,40,16.11,scattered clouds
97,Longyearbyen,SJ,78.2186,15.6401,24.8,86,90,28.77,snow
98,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,9.22,broken clouds
99,Coihaique,CL,-45.5752,-72.0662,62.6,59,75,6.91,broken clouds
100,Bluff,NZ,-46.6,168.3333,57.99,93,100,4.0,overcast clouds
101,Ostrovnoy,RU,68.0531,39.5131,31.59,86,92,24.02,overcast clouds
102,Gushikawa,JP,26.3544,127.8686,73.4,83,75,13.8,broken clouds
103,Gbadolite,CD,4.2833,21.0167,73.29,79,40,2.73,scattered clouds
104,Dikson,RU,73.5069,80.5464,-20.04,100,98,8.08,overcast clouds
105,Mehamn,NO,71.0357,27.8492,33.84,87,100,12.28,overcast clouds
106,Mataura,NZ,-46.1927,168.8643,57.99,94,98,3.0,overcast clouds
107,Mayo,US,38.8876,-76.5119,62.6,59,1,14.97,clear sky
108,Lompoc,US,34.6391,-120.4579,72.0,42,0,14.97,clear sky
109,Cabras,IT,39.93,8.5314,51.44,78,6,4.59,clear sky
110,Taoudenni,ML,22.6783,-3.9836,81.72,8,6,12.44,clear sky
111,Kavieng,PG,-2.5744,150.7967,83.08,75,100,14.76,overcast clouds
112,Les Trois-Ilets,MQ,14.539,-61.0361,80.6,69,40,14.97,scattered clouds
113,Ino,JP,33.55,133.4333,59.0,88,75,2.3,moderate rain
114,Riyadh,SA,24.6877,46.7219,77.0,18,50,19.57,dust
115,Dingle,PH,10.9995,122.6711,75.11,90,94,6.82,overcast clouds
116,Sorong,ID,-0.8833,131.25,78.78,84,100,9.17,overcast clouds
117,Parkes,AU,-33.1333,148.1833,62.19,63,0,3.29,clear sky
118,Dalbandin,PK,28.8947,64.4101,76.3,28,27,4.59,scattered clouds
119,Tucuman,AR,-26.8241,-65.2226,71.6,60,75,6.91,broken clouds
120,Kapaa,US,22.0752,-159.319,78.8,73,20,14.97,few clouds
121,Iqaluit,CA,63.7506,-68.5145,-7.01,71,75,2.3,broken clouds
122,Shenjiamen,CN,29.9576,122.298,55.85,96,100,5.48,light rain
123,Atuona,PF,-9.8,-139.0333,80.78,79,61,19.93,light rain
124,Pemangkat,ID,1.1667,108.9667,76.68,91,100,4.23,overcast clouds
125,Chabahar,IR,25.2919,60.643,77.09,79,100,8.16,overcast clouds
126,Kenai,US,60.5544,-151.2583,30.2,37,90,12.66,overcast clouds
127,Palembang,ID,-2.9167,104.7458,73.56,97,64,3.33,broken clouds
128,Butaritari,KI,3.0707,172.7902,81.66,78,93,14.34,light rain
129,Verkhovazhye,RU,60.7472,42.0465,27.16,96,63,3.74,broken clouds
130,Hambantota,LK,6.1241,81.1185,77.13,79,83,5.37,broken clouds
131,Hamilton,US,39.1834,-84.5333,73.99,43,1,10.36,clear sky
132,Villa Carlos Paz,AR,-31.4241,-64.4978,68.0,45,0,12.66,clear sky
133,Sitka,US,57.0531,-135.33,35.6,80,90,3.44,light rain
134,Khatanga,RU,71.9667,102.5,0.0,97,99,7.7,overcast clouds
135,Pyinmana,MM,19.7333,96.2167,75.38,37,31,2.84,scattered clouds
136,Sambava,MG,-14.2667,50.1667,75.45,88,100,6.67,light rain
137,Laguna,US,38.421,-121.4238,75.0,24,1,4.61,clear sky
138,Fortuna,US,40.5982,-124.1573,64.99,77,1,13.8,clear sky
139,Beitbridge,ZW,-22.2167,30.0,74.88,38,4,8.21,clear sky
140,Wanning,CN,18.8003,110.3967,73.06,95,91,6.35,overcast clouds
141,Vuktyl,RU,63.8567,57.3094,10.4,98,55,3.27,broken clouds
142,Noumea,NC,-22.2763,166.4572,82.4,69,0,3.44,clear sky
143,Sackville,CA,45.9188,-64.3846,28.4,93,100,12.66,overcast clouds
144,Krasnotorka,UA,48.682,37.5327,40.05,91,100,5.3,light rain
145,Gat,IL,31.61,34.7642,55.0,100,8,3.0,clear sky
146,Port Hardy,CA,50.6996,-127.4199,50.0,66,90,14.97,moderate rain
147,Hovd,MN,48.0056,91.6419,26.46,30,7,1.88,clear sky
148,Airai,TL,-8.9266,125.4092,59.81,92,100,2.57,moderate rain
149,Kahului,US,20.8947,-156.47,78.8,65,40,20.71,scattered clouds
150,Antibes,FR,43.5624,7.1278,57.2,88,75,11.5,broken clouds
151,Beringovskiy,RU,63.05,179.3167,3.0,91,100,8.86,overcast clouds
152,Massaguet,TD,12.4755,15.4365,81.1,13,2,18.37,clear sky
153,Moindou,NC,-21.6924,165.677,82.4,69,0,3.44,clear sky
154,Tabas,IR,33.5959,56.9244,73.11,23,2,7.16,clear sky
155,Alekseyevsk,RU,57.8406,108.3492,6.91,98,91,3.53,overcast clouds
156,Havoysund,NO,70.9963,24.6622,37.4,75,90,10.36,light rain
157,Ancud,CL,-41.8697,-73.8203,62.6,63,0,5.75,clear sky
158,Vestmanna,FO,62.1564,-7.1664,41.0,100,90,32.21,overcast clouds
159,Qaanaaq,GL,77.484,-69.3632,-10.19,85,100,5.08,overcast clouds
160,Byron Bay,AU,-28.65,153.6167,70.0,88,0,6.87,clear sky
161,Atocha,BO,-20.9333,-66.2333,59.54,33,54,14.03,broken clouds
162,Castro,BR,-24.7911,-50.0119,66.97,87,91,4.7,overcast clouds
163,Namibe,AO,-15.1961,12.1522,74.8,77,100,4.99,overcast clouds
164,Vieux-Habitants,GP,16.0589,-61.7659,80.6,65,75,13.8,broken clouds
165,Ponta Do Sol,PT,32.6667,-17.1,64.4,88,75,16.11,broken clouds
166,New Norfolk,AU,-42.7826,147.0587,55.99,89,100,3.6,overcast clouds
167,Victoria,HK,22.2855,114.1577,73.99,88,13,3.94,few clouds
168,Anadyr,RU,64.75,177.4833,-2.0,71,0,6.71,clear sky
169,Takoradi,GH,4.8845,-1.7554,79.29,85,85,4.27,overcast clouds
170,La Asuncion,VE,11.0333,-63.8628,76.75,83,100,17.13,overcast clouds
171,Phan Thiet,VN,10.9333,108.1,73.33,89,33,7.11,scattered clouds
172,Tuatapere,NZ,-46.1333,167.6833,57.99,93,100,4.0,overcast clouds
173,Seoul,KR,37.5683,126.9778,50.0,93,90,14.97,mist
174,Ystad,SE,55.4297,13.8204,39.2,87,40,11.5,scattered clouds
175,Leningradskiy,RU,69.3833,178.4167,-7.91,88,38,7.99,scattered clouds
176,Puerto Madryn,AR,-42.7692,-65.0385,68.49,34,76,27.58,broken clouds
177,Ferma,RU,57.9016,56.3064,21.2,68,0,4.38,clear sky
178,Tasiilaq,GL,65.6145,-37.6368,17.6,53,90,20.71,overcast clouds
179,Banda Aceh,ID,5.5577,95.3222,79.48,76,79,4.27,broken clouds
180,Lagoa,PT,39.05,-27.9833,59.25,89,27,11.27,scattered clouds
181,Fort Morgan,US,40.2503,-103.8,51.8,20,40,24.16,scattered clouds
182,Talakan,RU,50.3167,130.3667,31.6,91,100,6.26,overcast clouds
183,Port Macquarie,AU,-31.4333,152.9167,66.99,80,4,4.0,clear sky
184,Kingaroy,AU,-26.5333,151.8333,72.0,94,0,0.76,clear sky
