City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description 
0,Yellowknife,CA,62.456,-114.3525,10.99,78,75,5.75,broken clouds
1,Arti,RU,56.4234,58.5328,32.25,86,100,5.84,overcast clouds
2,Wewak,PG,-3.5534,143.6268,78.64,84,98,0.63,overcast clouds
3,Thompson,CA,55.7435,-97.8558,15.8,67,20,10.36,few clouds
4,Rikitea,PF,-23.1203,-134.9692,78.64,73,27,19.28,light rain
5,Yulara,AU,-25.2406,130.9889,75.2,69,99,1.14,overcast clouds
6,Kahului,US,20.8947,-156.47,69.8,49,20,13.8,few clouds
7,Hilo,US,19.7297,-155.09,68.0,64,90,4.61,overcast clouds
8,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,92.88,28,10,7.61,clear sky
9,Iqaluit,CA,63.7506,-68.5145,-13.0,70,40,2.3,scattered clouds
10,Saskylakh,RU,71.9167,114.0833,-13.58,100,100,1.5,overcast clouds
11,Longyearbyen,SJ,78.2186,15.6401,23.0,74,75,31.07,snow
12,Dauriya,RU,49.9333,116.8667,35.19,76,95,26.04,overcast clouds
13,Gulu,UG,2.7746,32.299,68.4,75,100,2.91,light rain
14,Punta Arenas,CL,-53.15,-70.9167,60.8,63,0,12.66,clear sky
15,Sarkand,KZ,45.41,79.9186,48.63,59,50,6.55,scattered clouds
16,Tiksi,RU,71.6872,128.8694,7.56,97,100,1.77,overcast clouds
17,Vaini,TO,-21.2,-175.2,78.8,89,20,6.91,few clouds
18,Bredasdorp,ZA,-34.5322,20.0403,68.0,49,91,12.66,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,64.99,68,59,1.01,broken clouds
20,Batemans Bay,AU,-35.7167,150.1833,57.99,93,17,3.0,few clouds
21,Tarancon,ES,40.0085,-3.0073,64.99,42,0,4.61,clear sky
22,Tilichiki,RU,60.4667,166.1,-9.69,99,100,10.11,overcast clouds
23,Villa Maria,AR,-32.4075,-63.2402,66.0,71,17,8.01,few clouds
24,Waipawa,NZ,-41.4122,175.5153,64.4,72,75,18.41,light rain
25,Bluff,NZ,-46.6,168.3333,57.99,90,81,1.01,light rain
26,Aketi,CD,2.7388,23.7833,84.58,57,43,5.01,scattered clouds
27,Ushuaia,AR,-54.8,-68.3,55.4,67,75,14.97,broken clouds
28,Yarada,IN,17.65,83.2667,84.2,74,75,4.61,haze
29,Saldanha,ZA,-33.0117,17.9442,69.8,46,0,20.71,clear sky
30,Hobart,AU,-42.8794,147.3294,53.6,71,61,13.8,broken clouds
31,Arraial Do Cabo,BR,-22.9661,-42.0278,91.4,62,0,12.66,clear sky
32,Kodiak,US,57.79,-152.4072,30.2,40,1,17.27,clear sky
33,Noumea,NC,-22.2763,166.4572,73.4,94,0,3.44,clear sky
34,Mossendjo,CG,-2.9506,12.7261,81.86,65,99,2.8,light rain
35,Kumsi,IN,14.0667,75.4,76.73,71,66,7.58,broken clouds
36,Carnarvon,AU,-24.8667,113.6333,77.0,78,1,11.5,clear sky
37,Airai,TL,-8.9266,125.4092,60.19,93,100,2.13,overcast clouds
38,Okhotsk,RU,59.3833,143.3,-3.19,99,98,4.52,overcast clouds
39,Georgetown,MY,5.4112,100.3354,84.2,89,40,6.91,scattered clouds
40,Barrow,US,71.2906,-156.7887,-14.8,76,1,3.44,clear sky
41,Colares,PT,38.7992,-9.4469,72.0,40,0,4.61,clear sky
42,Blackfalds,CA,52.3834,-113.7853,30.2,93,98,14.97,overcast clouds
43,East London,ZA,-33.0153,27.9116,68.0,64,0,19.57,clear sky
44,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,75,5.75,moderate rain
45,New Norfolk,AU,-42.7826,147.0587,51.01,80,54,3.89,broken clouds
46,Mataura,NZ,-46.1927,168.8643,57.99,90,40,1.01,scattered clouds
47,Sistranda,NO,63.7256,8.834,42.8,81,75,14.97,broken clouds
48,Port Alfred,ZA,-33.5906,26.891,68.13,71,18,22.12,few clouds
49,Las Lomas,PA,8.4333,-82.4,91.4,35,20,26.46,few clouds
50,Lagoa,PT,39.05,-27.9833,58.73,83,95,12.84,overcast clouds
51,Leningradskiy,RU,69.3833,178.4167,-19.43,91,20,6.73,few clouds
52,Diamantino,BR,-14.4086,-56.4461,89.31,44,34,4.7,scattered clouds
53,Valdivia,CL,-39.8142,-73.2459,62.6,63,0,4.61,clear sky
54,Albany,US,42.6001,-73.9662,53.01,46,18,1.99,few clouds
55,Jamestown,US,42.097,-79.2353,54.0,66,40,5.19,scattered clouds
56,Zyryanka,RU,65.75,150.85,-15.93,97,99,4.52,overcast clouds
57,Cidreira,BR,-30.1811,-50.2056,79.72,66,97,8.66,light rain
58,Busselton,AU,-33.65,115.3333,52.0,88,59,8.95,broken clouds
59,Sibu,MY,2.3,111.8167,78.8,89,40,1.48,scattered clouds
60,Ulladulla,AU,-35.35,150.4667,62.01,94,90,5.75,overcast clouds
61,Jacareacanga,BR,-6.2222,-57.7528,82.81,78,27,4.12,scattered clouds
62,Hambantota,LK,6.1241,81.1185,78.8,94,40,3.44,scattered clouds
