City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qax,AZ,2021-03-22 21:42:57,41.4225,46.9242,42.8,100,90,4.61
1,Vaini,TO,2021-03-22 21:39:30,-21.2,-175.2,80.6,78,20,9.22
2,Khatanga,RU,2021-03-22 21:39:46,71.9667,102.5,-18.78,80,97,8.23
3,Avera,US,2021-03-22 21:41:53,33.194,-82.5271,73.4,40,1,9.22
4,Yellowknife,CA,2021-03-22 21:39:26,62.456,-114.3525,0.0,45,20,6.91
5,Saldanha,ZA,2021-03-22 21:42:57,-33.0117,17.9442,71.6,53,0,3.44
6,Puerto Ayora,EC,2021-03-22 21:39:35,-0.7393,-90.3518,86.0,70,40,11.5
7,Hobart,AU,2021-03-22 21:39:48,-42.8794,147.3294,59.0,82,75,8.05
8,Sarangani,PH,2021-03-22 21:42:58,5.4033,125.4636,82.04,76,94,21.03
9,Punta Arenas,CL,2021-03-22 21:39:30,-53.15,-70.9167,59.0,55,40,13.8
10,Bengkulu,ID,2021-03-22 21:40:29,-3.8004,102.2655,74.84,92,100,6.51
11,Dikson,RU,2021-03-22 21:39:44,73.5069,80.5464,-11.58,74,100,1.41
12,Port Alfred,ZA,2021-03-22 21:39:39,-33.5906,26.891,65.28,79,32,8.1
13,Bilma,NE,2021-03-22 21:42:58,18.6853,12.9164,88.23,14,1,11.05
14,Port Elizabeth,ZA,2021-03-22 21:39:48,-33.918,25.5701,62.6,88,75,4.61
15,Luderitz,NA,2021-03-22 21:39:36,-26.6481,15.1594,65.55,82,72,6.98
16,Gaomi,CN,2021-03-22 21:42:59,36.3833,119.7528,48.99,39,0,4.47
17,Qaqortoq,GL,2021-03-22 21:41:07,60.7167,-46.0333,19.4,63,40,4.61
18,Hilo,US,2021-03-22 21:39:55,19.7297,-155.09,73.4,78,90,6.91
19,Mahebourg,MU,2021-03-22 21:40:13,-20.4081,57.7,78.8,89,40,1.14
20,Sinnamary,GF,2021-03-22 21:41:21,5.3833,-52.95,76.1,90,100,8.05
21,Olafsvik,IS,2021-03-22 21:42:09,64.8945,-23.7142,35.44,76,99,37.24
22,Avarua,CK,2021-03-22 21:40:37,-21.2078,-159.775,82.4,83,75,9.22
23,Cape Town,ZA,2021-03-22 21:38:29,-33.9258,18.4232,69.01,68,0,16.11
24,Rikitea,PF,2021-03-22 21:35:19,-23.1203,-134.9692,79.74,75,5,12.08
25,Mataura,NZ,2021-03-22 21:39:32,-46.1927,168.8643,54.0,95,77,4.0
26,Mubi,NG,2021-03-22 21:42:59,10.2676,13.2644,86.54,33,45,2.48
27,Narsaq,GL,2021-03-22 21:39:24,60.9167,-46.05,19.4,63,40,4.61
28,Constantine,DZ,2021-03-22 21:41:33,36.365,6.6147,39.2,93,75,8.05
29,Souillac,MU,2021-03-22 21:43:00,-20.5167,57.5167,78.8,89,40,1.14
